tag,value,step
accuracy,0.14285713070942765,0
loss,1.9475430448849997,0
accuracy_N,0.0,0
accuracy_R,0.0,0
accuracy_AFIB,0.999999404762259,0
accuracy_L,0.0,0
accuracy_AV,0.0,0
accuracy_AR,0.0,0
accuracy_PVC,0.0,0
train_loss,1.8416414042510612,1
train_loss,1.642838779062328,2
train_loss,1.2765783139384612,3
accuracy,0.34523806588111683,3
loss,1.817949136098226,3
accuracy_N,0.8392852147111817,3
accuracy_R,0.0,3
accuracy_AFIB,0.1071427933673849,3
accuracy_L,0.8333328373018826,3
accuracy_AV,0.06547615150229077,3
accuracy_AR,0.041666641865094126,3
accuracy_PVC,0.5297615894276253,3
train_loss,1.0772296385009683,4
train_loss,0.9506153620705747,5
train_loss,0.8993896098420173,6
accuracy,0.6972788522722064,6
loss,0.9307605475187303,6
accuracy_N,0.5476187216555228,6
accuracy_R,0.6607138924322069,6
accuracy_AFIB,0.773809063208891,6
accuracy_L,0.7202376665251985,6
accuracy_AV,0.7976185728460876,6
accuracy_AR,0.92261849844137,6
accuracy_PVC,0.4583330605160354,6
train_loss,0.8306731286615429,7
train_loss,0.8010708174788121,8
train_loss,0.7635580628815261,9
accuracy,0.378401328367234,9
loss,2.1833456953366595,9
accuracy_N,0.49404732497183035,9
accuracy_R,0.8630947243483783,9
accuracy_AFIB,0.1071427933673849,9
accuracy_L,0.17857132227897482,9
accuracy_AV,0.07142852891158993,9
accuracy_AR,0.5833329861113178,9
accuracy_PVC,0.3511902671486505,9
train_loss,0.7372861776021449,10
train_loss,0.7099152691293467,11
train_loss,0.6996863357501458,12
accuracy,0.2857142614188553,12
loss,3.101078728834788,12
accuracy_N,0.08333328373018825,12
accuracy_R,0.6607138924322069,12
accuracy_AFIB,0.0,12
accuracy_L,0.0,12
accuracy_AV,0.017857132227897483,12
accuracy_AR,0.85118996952978,12
accuracy_PVC,0.3869045316044455,12
train_loss,0.6270120173397633,13
train_loss,0.6051456047461765,14
train_loss,0.5947560538159744,15
accuracy,0.784013538774359,15
loss,0.7425706684589385,15
accuracy_N,0.7976185728460876,15
accuracy_R,0.7619043083902927,15
accuracy_AFIB,0.8392852147111817,15
accuracy_L,0.7499995535716942,15
accuracy_AV,0.8273804598925834,15
accuracy_AR,0.7916661954367884,15
accuracy_PVC,0.7202376665251985,15
train_loss,0.5895674278830535,16
train_loss,0.5794703289128764,17
accuracy,0.756802656734468,17
loss,0.810213565826416,17
accuracy_N,0.815475705073985,17
accuracy_R,0.6845234020694035,17
accuracy_AFIB,0.7797614406181901,17
accuracy_L,0.7380947987530959,17
accuracy_AV,0.7916661954367884,17
accuracy_AR,0.7678566857995918,17
accuracy_PVC,0.7202376665251985,17
train_loss,0.582156607567674,18
train_loss,0.5746965487257091,19
accuracy,0.7899659192205851,19
loss,0.741022154688835,19
accuracy_N,0.815475705073985,19
accuracy_R,0.7916661954367884,19
accuracy_AFIB,0.8571423469390792,19
accuracy_L,0.7619043083902927,19
accuracy_AV,0.8392852147111817,19
accuracy_AR,0.7440471761623951,19
accuracy_PVC,0.7202376665251985,19
train_loss,0.5601093791203923,20
train_loss,0.5519306357249174,21
accuracy,0.7746597980731464,21
loss,0.7494478871424992,21
accuracy_N,0.7857138180274893,21
accuracy_R,0.773809063208891,21
accuracy_AFIB,0.8630947243483783,21
accuracy_L,0.7916661954367884,21
accuracy_AV,0.8869042339855749,21
accuracy_AR,0.6785710246601043,21
accuracy_PVC,0.6428567602043094,21
train_loss,0.5476502790899558,22
train_loss,0.5387331909767473,23
accuracy,0.7772108182643862,23
loss,0.7516553203264872,23
accuracy_N,0.773809063208891,23
accuracy_R,0.773809063208891,23
accuracy_AFIB,0.8630947243483783,23
accuracy_L,0.7440471761623951,23
accuracy_AV,0.9107137436227717,23
accuracy_AR,0.7321424213437968,23
accuracy_PVC,0.6428567602043094,23
train_loss,0.5351615911810707,24
train_loss,0.533060017124851,25
accuracy,0.7610543570532009,25
loss,0.7865585138400395,25
accuracy_N,0.7380947987530959,25
accuracy_R,0.7261900439344976,25
accuracy_AFIB,0.8452375921204809,25
accuracy_L,0.7678566857995918,25
accuracy_AV,0.7499995535716942,25
accuracy_AR,0.7916661954367884,25
accuracy_PVC,0.7083329117066002,25
train_loss,0.5109346337837745,26
train_loss,0.5053516299565238,27
accuracy,0.7763604782006396,27
loss,0.7783037970463437,27
accuracy_N,0.7797614406181901,27
accuracy_R,0.7619043083902927,27
accuracy_AFIB,0.8690471017576775,27
accuracy_L,0.7559519309809934,27
accuracy_AV,0.8869042339855749,27
accuracy_AR,0.7321424213437968,27
accuracy_PVC,0.6488091376136086,27
train_loss,0.5029874643919494,28
train_loss,0.5100069844191618,29
accuracy,0.7721087778819067,29
loss,0.7779276520013809,29
accuracy_N,0.7857138180274893,29
accuracy_R,0.7380947987530959,29
accuracy_AFIB,0.8690471017576775,29
accuracy_L,0.7678566857995918,29
accuracy_AV,0.8869042339855749,29
accuracy_AR,0.7202376665251985,29
accuracy_PVC,0.6369043827950103,29
