tag,value,step
accuracy,0.14455781083692085,0
loss,1.9465160469214124,0
accuracy_N,0.011904754818598323,0
accuracy_R,0.0,0
accuracy_AFIB,0.0,0
accuracy_L,0.999999404762259,0
accuracy_AV,0.0,0
accuracy_AR,0.0,0
accuracy_PVC,0.0,0
train_loss,1.8271843950347144,1
train_loss,1.5666664195532856,2
train_loss,1.1241299678193464,3
accuracy,0.5918366843676289,3
loss,1.168434535463651,3
accuracy_N,0.6607138924322069,3
accuracy_R,0.06547615150229077,3
accuracy_AFIB,0.7440471761623951,3
accuracy_L,0.5059520797904287,3
accuracy_AV,0.773809063208891,3
accuracy_AR,0.8452375921204809,3
accuracy_PVC,0.5476187216555228,3
train_loss,0.9205628102368645,4
train_loss,0.8152156913339503,5
train_loss,0.7605485275830374,6
accuracy,0.5654761423914845,6
loss,1.3652424216270447,6
accuracy_N,0.23214271896266728,6
accuracy_R,0.8452375921204809,6
accuracy_AFIB,0.7440471761623951,6
accuracy_L,0.7083329117066002,6
accuracy_AV,0.4464283056974371,6
accuracy_AR,0.6190472505671127,6
accuracy_PVC,0.3630950219672488,6
train_loss,0.7207928240889375,7
train_loss,0.6936486698318238,8
train_loss,0.6783791296552899,9
accuracy,0.7244897343120974,9
loss,0.9252684811751049,9
accuracy_N,0.5714282312927195,9
accuracy_R,0.5357139668369245,9
accuracy_AFIB,0.8571423469390792,9
accuracy_L,0.7380947987530959,9
accuracy_AV,0.8749994791669766,9
accuracy_AR,0.8571423469390792,9
accuracy_PVC,0.6369043827950103,9
train_loss,0.6441741467702509,10
train_loss,0.6252512501017885,11
train_loss,0.612281853167137,12
accuracy,0.7023808926546861,12
loss,1.1416894495487213,12
accuracy_N,0.5773806087020186,12
accuracy_R,0.7142852891158993,12
accuracy_AFIB,0.9345232532599683,12
accuracy_L,0.4583330605160354,12
accuracy_AV,0.7261900439344976,12
accuracy_AR,0.8928566113948742,12
accuracy_PVC,0.6130948731578136,12
train_loss,0.5944924795686607,13
train_loss,0.5736523045614214,14
train_loss,0.5581614232004278,15
accuracy,0.6904761317622337,15
loss,1.0767263521750767,15
accuracy_N,0.7678566857995918,15
accuracy_R,0.624999627976412,15
accuracy_AFIB,0.8273804598925834,15
accuracy_L,0.5357139668369245,15
