tag,value,step
accuracy,0.14285713070942765,0
loss,1.9466399053732553,0
accuracy_N,0.0,0
accuracy_R,0.0,0
accuracy_AFIB,0.0,0
accuracy_L,0.0,0
accuracy_AV,0.0,0
accuracy_AR,0.0,0
accuracy_PVC,0.999999404762259,0
train_loss,1.847746408221746,1
train_loss,1.6112478629197218,2
train_loss,1.159202064913098,3
accuracy,0.5909863443038823,3
loss,1.2289482255776722,3
accuracy_N,0.5833329861113178,3
accuracy_R,0.14880943523247903,3
accuracy_AFIB,0.7499995535716942,3
accuracy_L,0.7083329117066002,3
accuracy_AV,0.7619043083902927,3
accuracy_AR,0.773809063208891,3
accuracy_PVC,0.4107140412416421,3
train_loss,0.9278982666754487,4
train_loss,0.8164251647373241,5
train_loss,0.7686308032215232,6
accuracy,0.5892856641763892,6
loss,1.4658448795477548,6
accuracy_N,0.3749997767858471,6
accuracy_R,0.4702378153346337,6
accuracy_AFIB,0.9523803854878657,6
accuracy_L,0.333333134920753,6
accuracy_AV,0.517856834609027,6
accuracy_AR,0.8749994791669766,6
accuracy_PVC,0.6011901183392152,6
train_loss,0.7220709620430922,7
train_loss,0.7003915196303098,8
train_loss,0.6758841677467425,9
accuracy,0.15816325185686633,9
loss,3.4580557147661843,9
accuracy_N,0.0,9
accuracy_R,0.0,9
accuracy_AFIB,0.04761901927439329,9
accuracy_L,0.05952377409299161,9
accuracy_AV,0.0,9
accuracy_AR,0.999999404762259,9
accuracy_PVC,0.0,9
train_loss,0.6146606203205515,10
train_loss,0.5779644810032133,11
train_loss,0.5596912582912069,12
accuracy,0.7814625185831192,12
loss,0.8199731260538101,12
accuracy_N,0.7380947987530959,12
accuracy_R,0.7321424213437968,12
accuracy_AFIB,0.9166661210320708,12
accuracy_L,0.7559519309809934,12
accuracy_AV,0.8452375921204809,12
accuracy_AR,0.85118996952978,12
accuracy_PVC,0.6309520053857111,12
train_loss,0.5439425352038724,13
train_loss,0.5317241185815026,14
train_loss,0.527444899377256,15
accuracy,0.7729591179456533,15
loss,0.8640375634034474,15
accuracy_N,0.7142852891158993,15
accuracy_R,0.7440471761623951,15
accuracy_AFIB,0.8988089888041733,15
accuracy_L,0.7380947987530959,15
accuracy_AV,0.85118996952978,15
accuracy_AR,0.8452375921204809,15
accuracy_PVC,0.6190472505671127,15
train_loss,0.5136128362305092,16
train_loss,0.501192546717011,17
accuracy,0.7729591179456533,17
loss,0.8814507027467092,17
accuracy_N,0.7380947987530959,17
accuracy_R,0.7678566857995918,17
accuracy_AFIB,0.9047613662134725,17
accuracy_L,0.7321424213437968,17
accuracy_AV,0.8273804598925834,17
accuracy_AR,0.8095233276646859,17
accuracy_PVC,0.6309520053857111,17
train_loss,0.47717780428062595,18
train_loss,0.4795397386545002,19
accuracy,0.7755101381368931,19
loss,0.8692890654007593,19
accuracy_N,0.7440471761623951,19
accuracy_R,0.7380947987530959,19
accuracy_AFIB,0.9107137436227717,19
accuracy_L,0.7202376665251985,19
accuracy_AV,0.8630947243483783,19
accuracy_AR,0.85118996952978,19
accuracy_PVC,0.6011901183392152,19
train_loss,0.4737108851423357,20
train_loss,0.47275848369492174,21
accuracy,0.7729591179456533,21
loss,0.8958984663089118,21
accuracy_N,0.7678566857995918,21
accuracy_R,0.7440471761623951,21
accuracy_AFIB,0.9107137436227717,21
accuracy_L,0.7321424213437968,21
accuracy_AV,0.8571423469390792,21
accuracy_AR,0.8095233276646859,21
accuracy_PVC,0.5892853635206169,21
