tag,value,step
accuracy,0.14285713070942765,0
loss,1.9461991091569266,0
accuracy_N,0.0,0
accuracy_R,0.0,0
accuracy_AFIB,0.999999404762259,0
accuracy_L,0.0,0
accuracy_AV,0.0,0
accuracy_AR,0.0,0
accuracy_PVC,0.0,0
train_loss,1.818211924911725,1
train_loss,1.635855379081008,2
train_loss,1.3372006493039648,3
accuracy,0.23214283740281996,3
loss,2.121984511613846,3
accuracy_N,0.14285705782317987,3
accuracy_R,0.0,3
accuracy_AFIB,0.029761887046495804,3
accuracy_L,0.16071419005107734,3
accuracy_AV,0.92261849844137,3
accuracy_AR,0.07738090632088909,3
accuracy_PVC,0.2916664930556589,3
train_loss,1.091792993321278,4
train_loss,0.9550487213205581,5
train_loss,0.8627875315965992,6
accuracy,0.28316324122761555,6
loss,2.8824819326400752,6
accuracy_N,0.19642845450687232,6
accuracy_R,0.1666665674603765,6
accuracy_AFIB,0.023809509637196646,6
accuracy_L,0.7261900439344976,6
accuracy_AV,0.029761887046495804,6
accuracy_AR,0.1071427933673849,6
accuracy_PVC,0.7321424213437968,6
train_loss,0.8072810509417319,7
train_loss,0.7632291135516495,8
train_loss,0.7269354908183068,9
accuracy,0.7142856535471384,9
loss,0.9035958101352056,9
accuracy_N,0.7202376665251985,9
accuracy_R,0.7380947987530959,9
accuracy_AFIB,0.6428567602043094,9
accuracy_L,0.7380947987530959,9
accuracy_AV,0.7619043083902927,9
accuracy_AR,0.85118996952978,9
accuracy_PVC,0.5476187216555228,9
train_loss,0.7205512079567009,10
train_loss,0.6848458784936681,11
train_loss,0.6634764005937202,12
accuracy,0.5850339638576562,12
loss,1.193793351451556,12
accuracy_N,0.4583330605160354,12
accuracy_R,0.7142852891158993,12
accuracy_AFIB,0.4464283056974371,12
accuracy_L,0.5595234764741212,12
accuracy_AV,0.2619046060091631,12
accuracy_AR,0.958332762897165,12
accuracy_PVC,0.6964281568880019,12
train_loss,0.6285586038438398,13
train_loss,0.6087829687512745,14
train_loss,0.6024204768461756,15
accuracy,0.5799319234751766,15
loss,1.359795967737834,15
accuracy_N,0.4404759282881379,15
accuracy_R,0.8095233276646859,15
accuracy_AFIB,0.38095215419514633,15
accuracy_L,0.8214280824832842,15
accuracy_AV,0.6071424957485144,15
accuracy_AR,0.33928551233005216,15
accuracy_PVC,0.6607138924322069,15
train_loss,0.5344259369343811,16
train_loss,0.5120711609868719,17
accuracy,0.784013538774359,17
loss,0.7730493247509003,17
accuracy_N,0.8095233276646859,17
accuracy_R,0.7619043083902927,17
accuracy_AFIB,0.8630947243483783,17
accuracy_L,0.666666269841506,17
accuracy_AV,0.8809518565762758,17
accuracy_AR,0.7857138180274893,17
accuracy_PVC,0.7202376665251985,17
train_loss,0.5003364790636715,18
train_loss,0.4924156366303419,19
accuracy,0.7908162592843317,19
loss,0.7709336653351784,19
accuracy_N,0.7976185728460876,19
accuracy_R,0.815475705073985,19
accuracy_AFIB,0.8571423469390792,19
accuracy_L,0.666666269841506,19
accuracy_AV,0.9107137436227717,19
accuracy_AR,0.7857138180274893,19
accuracy_PVC,0.702380534297301,19
train_loss,0.4917589648082703,20
train_loss,0.4669100370737585,21
accuracy,0.7780611583281328,21
loss,0.7877444128195444,21
accuracy_N,0.815475705073985,21
accuracy_R,0.7678566857995918,21
accuracy_AFIB,0.8333328373018826,21
accuracy_L,0.6726186472508052,21
accuracy_AV,0.9047613662134725,21
accuracy_AR,0.7559519309809934,21
accuracy_PVC,0.6964281568880019,21
train_loss,0.4749044064838107,22
train_loss,0.46801757155963675,23
accuracy,0.7874148990293454,23
loss,0.7878687232732773,23
accuracy_N,0.8035709502553867,23
accuracy_R,0.7916661954367884,23
accuracy_AFIB,0.8749994791669766,23
accuracy_L,0.702380534297301,23
accuracy_AV,0.9345232532599683,23
accuracy_AR,0.7678566857995918,23
accuracy_PVC,0.6369043827950103,23
train_loss,0.4559677476340001,24
train_loss,0.460789665727332,25
accuracy,0.7874148990293454,25
loss,0.8021164238452911,25
accuracy_N,0.7976185728460876,25
accuracy_R,0.8035709502553867,25
accuracy_AFIB,0.8630947243483783,25
accuracy_L,0.6488091376136086,25
accuracy_AV,0.9047613662134725,25
accuracy_AR,0.7857138180274893,25
accuracy_PVC,0.7083329117066002,25
train_loss,0.43924944235546765,26
train_loss,0.43315815844453204,27
accuracy,0.7959182996668113,27
loss,0.7867813855409622,27
accuracy_N,0.7916661954367884,27
accuracy_R,0.8333328373018826,27
accuracy_AFIB,0.8630947243483783,27
accuracy_L,0.6726186472508052,27
accuracy_AV,0.8928566113948742,27
accuracy_AR,0.8095233276646859,27
accuracy_PVC,0.7083329117066002,27
train_loss,0.430704077797951,28
train_loss,0.42320296345370806,29
accuracy,0.7925169394118249,29
loss,0.7904064406951268,29
accuracy_N,0.8095233276646859,29
accuracy_R,0.7797614406181901,29
accuracy_AFIB,0.8571423469390792,29
accuracy_L,0.7142852891158993,29
accuracy_AV,0.8928566113948742,29
accuracy_AR,0.7857138180274893,29
accuracy_PVC,0.7083329117066002,29
train_loss,0.4186847932858043,30
accuracy,0.7874148990293454,30
loss,0.793414533138275,30
accuracy_N,0.815475705073985,30
accuracy_R,0.7916661954367884,30
accuracy_AFIB,0.8571423469390792,30
accuracy_L,0.6845234020694035,30
accuracy_AV,0.8690471017576775,30
accuracy_AR,0.7857138180274893,30
accuracy_PVC,0.7083329117066002,30
train_loss,0.42421990404329685,31
accuracy,0.7874148990293454,31
loss,0.794212281703949,31
accuracy_N,0.7916661954367884,31
accuracy_R,0.7976185728460876,31
accuracy_AFIB,0.8452375921204809,31
accuracy_L,0.6964281568880019,31
accuracy_AV,0.8749994791669766,31
accuracy_AR,0.8035709502553867,31
accuracy_PVC,0.702380534297301,31
train_loss,0.4153662616073494,32
accuracy,0.784013538774359,32
loss,0.8045965830485026,32
accuracy_N,0.7976185728460876,32
accuracy_R,0.7916661954367884,32
accuracy_AFIB,0.85118996952978,32
accuracy_L,0.666666269841506,32
accuracy_AV,0.8809518565762758,32
