tag,value,step
accuracy,0.14540815090066744,0
loss,1.9475946227709453,0
accuracy_N,0.0,0
accuracy_R,0.0,0
accuracy_AFIB,0.0,0
accuracy_L,0.0,0
accuracy_AV,0.1369046804138807,0
accuracy_AR,0.8809518565762758,0
accuracy_PVC,0.0,0
train_loss,1.8518456309148577,1
train_loss,1.7221070581143447,2
train_loss,1.545414755840113,3
accuracy,0.3732992879847544,3
loss,1.654566655556361,3
accuracy_N,0.2440474737812656,3
accuracy_R,0.005952377409299161,3
accuracy_AFIB,0.4166664186509413,3
accuracy_L,0.7142852891158993,3
accuracy_AV,0.517856834609027,3
accuracy_AR,0.5059520797904287,3
accuracy_PVC,0.20833320932547064,3
train_loss,1.2711313585243604,4
train_loss,1.0394677195218527,5
train_loss,0.9415743589991397,6
accuracy,0.5739795430289505,6
loss,1.2343139946460724,6
accuracy_N,0.2738093608277614,6
accuracy_R,0.5119044571997279,6
accuracy_AFIB,0.6369043827950103,6
accuracy_L,0.5654758538834203,6
accuracy_AV,0.6785710246601043,6
accuracy_AR,0.9166661210320708,6
accuracy_PVC,0.43452355087883876,6
train_loss,0.8645743966692738,7
train_loss,0.8216841608876043,8
train_loss,0.7840161245353154,9
accuracy,0.27976188097262916,9
loss,4.4463176131248465,9
accuracy_N,0.08333328373018825,9
accuracy_R,0.9523803854878657,9
accuracy_AFIB,0.08333328373018825,9
accuracy_L,0.19047607709757317,9
accuracy_AV,0.05952377409299161,9
accuracy_AR,0.40476166383234297,9
accuracy_PVC,0.18452369968827398,9
train_loss,0.7658478217844912,10
train_loss,0.7372345489145509,11
train_loss,0.7097636206020225,12
accuracy,0.5663264824552311,12
loss,1.3762651582558951,12
accuracy_N,0.5654758538834203,12
accuracy_R,0.4166664186509413,12
accuracy_AFIB,0.3035712478742572,12
accuracy_L,0.5119044571997279,12
accuracy_AV,0.7202376665251985,12
accuracy_AR,0.5238092120183262,12
accuracy_PVC,0.92261849844137,12
train_loss,0.6640886450463003,13
train_loss,0.6341446136484055,14
train_loss,0.6145943258658491,15
accuracy,0.7687074176269203,15
loss,0.8104401081800461,15
accuracy_N,0.7916661954367884,15
accuracy_R,0.8214280824832842,15
accuracy_AFIB,0.7857138180274893,15
accuracy_L,0.7083329117066002,15
accuracy_AV,0.92261849844137,15
accuracy_AR,0.7202376665251985,15
accuracy_PVC,0.6309520053857111,15
train_loss,0.6140634826209287,16
train_loss,0.618448357918475,17
accuracy,0.7687074176269203,17
loss,0.8088010996580123,17
accuracy_N,0.7797614406181901,17
accuracy_R,0.7916661954367884,17
accuracy_AFIB,0.8095233276646859,17
accuracy_L,0.7321424213437968,17
accuracy_AV,0.9404756306692674,17
accuracy_AR,0.6845234020694035,17
accuracy_PVC,0.6428567602043094,17
train_loss,0.6078309656517343,18
train_loss,0.6008501761030443,19
accuracy,0.7602040169894544,19
loss,0.8150234818458557,19
accuracy_N,0.6607138924322069,19
accuracy_R,0.7976185728460876,19
accuracy_AFIB,0.8333328373018826,19
accuracy_L,0.7321424213437968,19
accuracy_AV,0.8452375921204809,19
accuracy_AR,0.7380947987530959,19
