tag,value,step
accuracy,0.14285713070942765,0
loss,1.9471035103003187,0
accuracy_N,0.0,0
accuracy_R,0.0,0
accuracy_AFIB,0.999999404762259,0
accuracy_L,0.0,0
accuracy_AV,0.0,0
accuracy_AR,0.0,0
accuracy_PVC,0.0,0
train_loss,1.8613405941736585,1
train_loss,1.7199401542691894,2
train_loss,1.5393047657343422,3
accuracy,0.43112241231952275,3
loss,1.543496628602346,3
accuracy_N,0.6011901183392152,3
accuracy_R,0.03571426445579497,3
accuracy_AFIB,0.3988092864230438,3
accuracy_L,0.8035709502553867,3
accuracy_AV,0.5119044571997279,3
accuracy_AR,0.2142855867347698,3
accuracy_PVC,0.45238068310673624,3
train_loss,1.2411981496480435,4
train_loss,1.0520143529566208,5
train_loss,0.9562190366853585,6
accuracy,0.28486392135510874,6
loss,3.3091102441151934,6
accuracy_N,0.05952377409299161,6
accuracy_R,0.17261894486967566,6
accuracy_AFIB,0.6726186472508052,6
accuracy_L,0.06547615150229077,6
accuracy_AV,0.08333328373018825,6
accuracy_AR,0.1071427933673849,6
accuracy_PVC,0.8333328373018826,6
train_loss,0.884207268752674,7
train_loss,0.8434595232552824,8
train_loss,0.8150414626787204,9
accuracy,0.6964285122084599,9
loss,1.003913347919782,9
accuracy_N,0.8630947243483783,9
accuracy_R,0.7797614406181901,9
accuracy_AFIB,0.3869045316044455,9
accuracy_L,0.6369043827950103,9
accuracy_AV,0.92261849844137,9
accuracy_AR,0.6785710246601043,9
accuracy_PVC,0.6071424957485144,9
train_loss,0.7838462902472749,10
train_loss,0.7500947542709878,11
train_loss,0.7293085606381443,12
accuracy,0.7465985759695088,12
loss,0.8567187190055847,12
accuracy_N,0.6904757794787026,12
accuracy_R,0.7619043083902927,12
accuracy_AFIB,0.7499995535716942,12
accuracy_L,0.6309520053857111,12
accuracy_AV,0.9166661210320708,12
accuracy_AR,0.8749994791669766,12
accuracy_PVC,0.6011901183392152,12
train_loss,0.7115529831683282,13
train_loss,0.7092029965750062,14
train_loss,0.6727375543058511,15
accuracy,0.7329931349495634,15
loss,0.9424223601818084,15
